date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2014-01-02,sh.600183,4.9300,4.9600,4.9000,4.9500,4.9400,4515667,22262918.0000,3,0.322431,1,0.202400,0
2014-01-03,sh.600183,4.9400,4.9400,4.8400,4.8900,4.9500,4680096,22796852.0000,3,0.334171,1,-1.212100,0
2014-01-06,sh.600183,4.8900,4.9000,4.7500,4.7600,4.8900,3605908,17330092.0000,3,0.257472,1,-2.658500,0
2014-01-07,sh.600183,4.7400,4.8700,4.7000,4.8600,4.7600,3922709,18891236.0000,3,0.280092,1,2.100800,0
2014-01-08,sh.600183,4.8600,4.8700,4.7600,4.7900,4.8600,4216946,20234559.0000,3,0.301101,1,-1.440300,0
2014-01-09,sh.600183,4.7700,4.8400,4.7300,4.8300,4.7900,3499810,16731627.0000,3,0.249896,1,0.835100,0
2014-01-10,sh.600183,4.8100,4.8600,4.6300,4.7300,4.8300,5908374,27923185.0000,3,0.421874,1,-2.070400,0
2014-01-13,sh.600183,4.7200,4.7200,4.6200,4.6800,4.7300,3070118,14339282.0000,3,0.219215,1,-1.057100,0
2014-01-14,sh.600183,4.6800,4.6800,4.5600,4.6700,4.6800,6163884,28456378.0000,3,0.440118,1,-0.213700,0
2014-01-15,sh.600183,4.6700,4.7400,4.6300,4.7100,4.6700,3784499,17744993.0000,3,0.270223,1,0.856500,0
2014-01-16,sh.600183,4.7000,4.8500,4.7000,4.8400,4.7100,6795594,32631798.0000,3,0.485224,1,2.760100,0
2014-01-17,sh.600183,4.8400,4.8800,4.7200,4.7400,4.8400,3920671,18859844.0000,3,0.279946,1,-2.066100,0
2014-01-20,sh.600183,4.7200,4.7900,4.7000,4.7700,4.7400,2629967,12460131.0000,3,0.187787,1,0.632900,0
2014-01-21,sh.600183,4.7800,4.8700,4.7800,4.8500,4.7700,2706079,13079888.0000,3,0.193221,1,1.677100,0
2014-01-22,sh.600183,4.8600,4.9500,4.8300,4.9300,4.8500,4646184,22851362.0000,3,0.331750,1,1.649500,0
2014-01-23,sh.600183,4.9300,4.9500,4.8700,4.9100,4.9300,3864224,18971779.0000,3,0.275916,1,-0.405700,0
2014-01-24,sh.600183,4.8700,4.9700,4.8700,4.9600,4.9100,4513543,22304066.0000,3,0.322279,1,1.018300,0
2014-01-27,sh.600183,4.9800,5.0900,4.9400,5.0000,4.9600,9221913,46336216.0000,3,0.658469,1,0.806500,0
2014-01-28,sh.600183,5.0100,5.0400,4.9600,5.0100,5.0000,3238406,16196010.0000,3,0.231231,1,0.200000,0
2014-01-29,sh.600183,5.0100,5.0400,4.9700,5.0200,5.0100,2893939,14466558.0000,3,0.206635,1,0.199600,0
2014-01-30,sh.600183,5.0200,5.0300,4.9400,4.9400,5.0200,3127622,15575684.0000,3,0.223321,1,-1.593600,0
2014-02-07,sh.600183,4.9200,5.0700,4.8700,5.0600,4.9400,7592776,37792278.0000,3,0.542145,1,2.429100,0
2014-02-10,sh.600183,5.0800,5.2800,5.0800,5.2200,5.0600,9708666,50315513.0000,3,0.693225,1,3.162100,0
2014-02-11,sh.600183,5.2500,5.2700,5.1300,5.1900,5.2200,8174816,42488446.0000,3,0.583704,1,-0.574700,0
2014-02-12,sh.600183,5.2000,5.5800,5.1700,5.4600,5.1900,21299198,115255236.0000,3,1.520820,1,5.202300,0
2014-02-13,sh.600183,5.4100,5.5100,5.3500,5.3500,5.4600,12803636,69527068.0000,3,0.914214,1,-2.014700,0
2014-02-14,sh.600183,5.3400,5.4200,5.3300,5.4100,5.3500,6843439,36792553.0000,3,0.488640,1,1.121500,0
2014-02-17,sh.600183,5.4300,5.5000,5.3800,5.4900,5.4100,11374803,61899459.0000,3,0.812192,1,1.478700,0
2014-02-18,sh.600183,5.4800,5.4900,5.3300,5.3500,5.4900,12549553,67577963.0000,3,0.896072,1,-2.550100,0
2014-02-19,sh.600183,5.3500,5.4200,5.3100,5.3400,5.3500,8458165,45293776.0000,3,0.603936,1,-0.186900,0
2014-02-20,sh.600183,5.3500,5.5500,5.2000,5.4500,5.3400,22807252,123299303.0000,3,1.628499,1,2.059900,0
2014-02-21,sh.600183,5.4200,5.7800,5.3800,5.5200,5.4500,23679156,131358017.0000,3,1.690755,1,1.284400,0
2014-02-24,sh.600183,5.5200,5.6000,5.3800,5.5600,5.5200,20490643,113156956.0000,3,1.463087,1,0.724600,0
2014-02-25,sh.600183,5.6100,5.6600,5.2300,5.3100,5.5600,20309164,111226095.0000,3,1.450129,1,-4.496400,0
2014-02-26,sh.600183,5.2900,5.3300,5.1300,5.3200,5.3100,12076950,63296722.0000,3,0.862327,1,0.188300,0
2014-02-27,sh.600183,5.3100,5.4300,5.1500,5.1700,5.3200,13450354,70926598.0000,3,0.960391,1,-2.819500,0
2014-02-28,sh.600183,5.1800,5.3200,5.1500,5.3100,5.1700,8803007,46317995.0000,3,0.628558,1,2.707900,0
2014-03-03,sh.600183,5.3100,5.4700,5.2800,5.4500,5.3100,12655250,68212106.0000,3,0.903619,1,2.636500,0
2014-03-04,sh.600183,5.4000,5.4900,5.3300,5.4200,5.4500,9566306,51728909.0000,3,0.683060,1,-0.550500,0
2014-03-05,sh.600183,5.4300,5.5400,5.3800,5.4300,5.4200,12746588,69755350.0000,3,0.910141,1,0.184500,0
2014-03-06,sh.600183,5.4200,5.4400,5.2700,5.3800,5.4300,10309877,55203743.0000,3,0.736153,1,-0.920800,0
2014-03-07,sh.600183,5.3700,5.4000,5.2500,5.3200,5.3800,8816756,46877085.0000,3,0.629540,1,-1.115200,0
